Id,Prediction
268752,4.064739446174386
80629,4.070495
189135,4.215312664928621
270511,3.9208798896292203
179535,4.302197775800216
86367,3.951390805242722
39319,4.164806669887774
173876,3.8700776113078796
149393,3.9636761340063944
171365,3.886769954191813
142513,4.816691130006678
256804,3.877356297048072
7262,4.2006474945234755
249004,3.720993812807315
74280,4.636674399350116
68990,3.681680196620656
59128,4.192651561693112
184310,4.257612054233964
107004,4.235991020663574
274353,4.382391946445571
298231,4.182415688838857
217105,3.815951544001668
127897,4.675367843134895
288478,4.600359221618232
73554,4.980671932893841
191825,4.439456064895628
271698,4.368579904784131
265523,4.4811862715054085
71937,4.114079628640119
183882,4.1960682943191125
20068,4.070495
164706,4.332315852282609
256604,4.403148493306255
290529,3.7545282948112533
160648,4.464981106169013
289847,4.070495
157817,4.037094009859759
231498,4.0420736943968105
286846,4.6569649532691155
23945,3.6815755817575337
99644,3.6983418651115505
4467,4.25503886751939
289929,3.9826592438879103
294910,4.693481857815596
26683,3.3078044124118824
133996,4.061069123202784
95787,4.310090092819246
263715,3.6125524664430504
160489,4.274055012834392
242643,4.276400770339588
112820,4.182067476645139
148295,4.0435089931276975
228404,3.9118555329792524
140549,4.261949819799082
8066,4.454757547979225
112713,4.18132512335927
70263,4.530407147204669
105926,3.9328263315439904
164006,4.131083852174763
298283,4.233969982296948
225367,4.054067006942178
86800,4.006871795611432
101304,4.593224476931949
244879,4.794850577796765
77282,3.5322995006815625
108359,3.8887553890655613
222303,3.778588890029261
22953,4.070495
41922,3.8887553890655613
146283,4.2333386819384105
237330,3.9387305265638437
60360,4.413395438823134
129448,4.018396958096508
35023,4.070495
139443,4.404554484599561
99126,4.296827979595506
258067,3.7194328275565915
283302,4.204162771315519
124129,4.242039859228998
85777,4.342975121714693
258909,4.2563921718544515
206577,4.760149882558703
256186,4.574718835142477
141492,3.207904097644678
138835,5
238775,4.426111025894455
31943,4.7128850955546335
144882,3.9267967519013234
37909,4.133716901053001
190117,3.9336206992801244
247780,4.092361410653899
6404,3.9280575022108177
260275,3.8801113691261135
271635,4.529365403258119
231472,4.444891880615845
75985,3.1318459034182475
53239,4.0487065800325635
82401,4.313636210628469
220649,3.74783579059121
95805,3.822532297912847
79441,3.2470418582987057
164930,4.514841480532804
112260,4.219517531177706
260692,4.385648086047005
100508,3.7517962351989307
225458,3.800718736862411
163131,3.8488966000081604
192557,4.338536459705805
129278,3.1649252463056556
246486,4.558204757187689
224924,4.223475330189674
223460,3.6181854735568058
152656,4.967913951981411
278438,4.261282297208205
217660,3.7887687547627156
166742,4.514689033818644
229603,3.8887553890655613
1580,3.7013388839504335
292455,3.9737703567172713
47352,3.846138014755512
268167,4.2733029490290875
68005,4.16795775060904
174565,3.8826981561864873
229235,3.5428766413502015
164023,4.070495
128363,3.894574570186329
101816,4.1039640264791135
167825,4.02664084174724
63160,4.229428052494146
47300,4.878839716946295
44445,4.070495
27252,4.3456663366352
235776,4.016084630973872
211902,4.718700718440761
129122,4.112953444332628
4093,4.154571440652735
65294,4.38896583989803
44015,4.157511426231582
64853,3.638094646946157
71242,3.837782298711862
173352,3.968561958976809
243026,3.598118442645929
278611,3.947596814530527
154545,4.921810793429716
246529,4.01512346030681
10234,4.289700403185814
256790,4.0476876767017265
125747,4.135763472125558
212172,3.772894433600252
173478,4.319822764529402
145092,3.8088778508252075
294797,3.8746306524751466
14655,3.83424030390816
54021,4.5680551142031876
166777,4.6476655490037295
39074,4.791001184583877
81435,3.9212308581609756
161937,4.624056022424891
122401,3.417854832067706
117074,3.8652998333310427
149901,4.340656291604993
91229,4.199917069266126
215219,4.273735220525719
167722,4.487265725703266
102726,4.501571142583396
152583,4.176387979707199
144877,3.8312804211961504
30654,4.197291527601862
136469,4.037203298082973
88131,3.7465037574947955
179140,4.155122653207939
18859,4.385506672935709
90686,3.810153903912677
287678,4.452073315494064
265159,4.108369477395016
135557,4.070495
171858,3.8541591650323657
275287,4.741941449054406
29220,4.070495
170016,4.252174416868539
153419,2.966853576801335
249979,3.92638707266
163614,4.156979649265949
281207,4.101462108427876
243808,3.931041564948808
19926,3.8245773418776983
166090,3.0407338237638255
165807,4.070495
46455,3.914503528725694
184559,3.90453813940043
21045,3.751507954843163
224449,3.8335202321888504
92960,4.113358036190115
56774,3.655723043008595
88385,3.7662287484770065
6252,3.9896289914434013
100384,4.2656896507230995
249185,3.740547993229475
239244,4.606559659294546
122934,4.6162423481033
156764,4.008578774583486
255673,3.9824972092602335
11912,3.7004290446964454
102070,4.8079925214981865
217064,4.980671932893841
282993,4.514689033818644
115942,3.9328274563063066
147861,4.8350088437451975
199280,3.3839535144768904
210012,4.304901833332606
105126,4.176550878674056
209074,4.526334925599534
294560,3.7339767430365995
197029,4.029401797578018
270846,4.5814478979567115
44101,3.9484931575691444
146253,3.590783349134797
240084,3.298503367702115
7564,4.104789250317293
125759,4.396612725248212
33898,4.206261771203318
129717,3.3628640420677987
212830,4.572867229819242
239754,3.935546155933502
39103,4.269542821722266
91374,3.9384588621980403
244564,4.470480050440873
99415,4.091854482823215
152112,3.6735494500852472
55064,4.100116060915728
209839,4.171776696218106
44647,4.4263006278443
299351,4.555178248849521
18475,3.7523991230779963
